name,rank,year,industry,sector,headquarters_state
"Western Gas Resources, Inc.",487,2001,Pipelines,,CO
Consolidated Stores Corporation,488,2001,Specialty Retailers,,OH
Airborne Freight,489,2001,"Mail, Package, and Freight Delivery",,WA
"Armstrong Holdings, Inc.",490,2001,"Building Materials, Glass",,PA
"Mohawk Industries, Inc.",491,2001,Textiles,,GA
"Charter Communications, Inc.",492,2001,Telecommunications,,MO
"Lennox International, Inc.",493,2001,Industrial and Farm Equipment,,TX
Summit Bancorp,494,2001,Commercial Banks,,NJ
Jefferson-Pilot Corporation,495,2001,"Insurance: Life, Health (Stock)",,NC
MGM Mirage,496,2001,"Hotels, Casinos, Resorts",,NV
Lutheran Brotherhood,497,2001,"Insurance: Life, Health (Mutual)",,MN
Pennzoil-Quaker State Company,498,2001,Wholesalers: Diversified,,TX
Knight-Ridder Inc.,499,2001,"Publishing, Printing",,CA
Qualcomm Incorporated,500,2001,Network and Other Communications Equipment,,CA
"Wal-Mart Stores, Inc.",1,2002,General Merchandisers,,AR
Exxon Mobil Corporation,2,2002,Petroleum Refining,,TX
General Motors Corporation,3,2002,Motor Vehicles & Parts,,MI
Ford Motor Company,4,2002,Motor Vehicles & Parts,,MI
Enron,5,2002,Energy,,TX
General Electric Company,6,2002,Diversified Financials,,CT
"Citigroup, Inc.",7,2002,Diversified Financials,,NY
ChevronTexaco Corporation,8,2002,Petroleum Refining,,CA
International Business Machines Corporation,9,2002,"Computers, Office Equipment",,NY
Philip Morris Companies Inc.,10,2002,Tobacco,,NY
Verizon Communications Inc.,11,2002,Telecommunications,,NY
"American International Group,Inc.",12,2002,Insurance: Property and Casualty (Stock),,NY
"American Electric Power Company, Inc.",13,2002,Energy,,OH
Duke Energy Corporation,14,2002,Energy,,NC
AT&T Corp.,15,2002,Telecommunications,,NY
The Boeing Company,16,2002,Aerospace & Defense,,IL
El Paso Corporation,17,2002,Energy,,TX
"The Home Depot, Inc.",18,2002,Specialty Retailers,,GA
Bank of America Corporation,19,2002,Commercial Banks,,NC
Fannie Mae,20,2002,Diversified Financials,,DC
J.P. Morgan Chase & Co.,21,2002,Commercial Banks,,NY
The Kroger Company,22,2002,Food & Drug Stores,,OH
"Cardinal Health, Inc.",23,2002,Wholesalers: Health Care,,OH
"Merck & Co., Inc.",24,2002,Pharmaceuticals,,NJ
State Farm Insurance Cos.,25,2002,Insurance: Property and Casualty (Mutual),,IL
"Reliant Energy, Incorporated",26,2002,Energy,,TX
SBC Communications Inc.,27,2002,Telecommunications,,TX
Hewlett-Packard Company,28,2002,"Computers, Office Equipment",,CA
Morgan Stanley Dean Witter & Co.,29,2002,Securities,,NY
McKesson Corporation,31,2002,Wholesalers: Health Care,,CA
Sears Roebuck and Company,32,2002,General Merchandisers,,IL
"Aquila, Inc.",33,2002,Energy,,MO
Target Corporation,34,2002,General Merchandisers,,MN
The Procter & Gamble Company,35,2002,Household and Personal Products,,OH
"Merrill Lynch & Co., Inc.",36,2002,Securities,,NY
AOL Time Warner,37,2002,Entertainment,,NY
Dynegy Inc.,38,2002,Food & Drug Stores,,ID
Berkshire Hathaway Inc.,39,2002,Insurance: Property and Casualty (Stock),,NE
Kmart Corporation,40,2002,General Merchandisers,,MI
Freddie Mac,41,2002,Diversified Financials,,VA
"WorldCom, Inc.",42,2002,Telecommunications,,MS
Marathon Oil Corporation,43,2002,Petroleum Refining,,TX
Costco Wholesale Corporation,44,2002,Specialty Retailers,,WA
Safeway Inc.,45,2002,Food & Drug Stores,,CA
Compaq Computer Corporation,46,2002,"Computers, Office Equipment",,TX
Johnson & Johnson,47,2002,Pharmaceuticals,,NJ
Conoco Inc.,48,2002,Petroleum Refining,,TX
Pfizer Inc.,49,2002,Pharmaceuticals,,NY
"J.C. Penney Company, Inc.",50,2002,General Merchandisers,,TX
MetLife Inc.,51,2002,"Insurance: Life, Health (Stock)",,NY
Mirant Corp.,52,2002,Energy,,GA
Dell Computer Corporation,53,2002,"Computers, Office Equipment",,TX
"Goldman Sachs Group, Inc.",54,2002,Securities,,NY
"United Parcel Service, Inc.",55,2002,"Mail, Package, and Freight Delivery",,GA
"Motorola, Inc.",56,2002,Network and Other Communications Equipment,,IL
The Allstate Corporation,57,2002,Insurance: Property and Casualty (Stock),,IL
TXU Corp.,58,2002,Utilities: Gas and Electric,,TX
United Technologies Corporation,59,2002,Aerospace & Defense,,CT
The Dow Chemical Company,60,2002,Chemicals,,MI
"ConAgra Foods, Incorporated",61,2002,Food Consumer Products,,NE
"Prudential Financial, Inc.",62,2002,"Insurance: Life, Health (Stock)",,NJ
"PepsiCo, Inc.",63,2002,Beverages,,NY
Wells Fargo & Co.,64,2002,Commercial Banks,,CA
Intel,65,2002,Semiconductors and Other Electronic Components,,CA
International Paper Company,66,2002,Forest and Paper Products,,CT
Delphi Corporation,67,2002,Motor Vehicles & Parts,,MI
Sprint Corporation,68,2002,Telecommunications,,KS
New York Life Insurance Company,69,2002,"Insurance: Life, Health (Mutual)",,NY
E.I. du Pont de Nemours,70,2002,Chemicals,,DE
Georgia-Pacific Group,71,2002,Forest and Paper Products,,GA
Microsoft Corporation,72,2002,Computer Software,,WA
The Walt Disney Company,73,2002,Entertainment,,CA
Aetna,74,2002,Health Care,,CT
"Ingram Micro, Inc.",75,2002,Wholesalers: Electronics and Office Equipment,,CA
Lucent Technologies Inc.,76,2002,Network and Other Communications Equipment,,NJ
Lockheed Martin Corporation,77,2002,Aerospace & Defense,,MD
Walgreen Co.,78,2002,Food & Drug Stores,,IL
Bank One Corporation,79,2002,Commercial Banks,,IL
Teachers Insurance and Annuity Association College Retiremen,80,2002,"Insurance: Life, Health (Mutual)",,NY
Phillips Petroleum Company,81,2002,Petroleum Refining,,OK
Honeywell International Inc.,83,2002,Aerospace & Defense,,NJ
"UnitedHealth Group, Incorporated",84,2002,Health Care,,MN
Viacom Inc.,85,2002,Entertainment,,NY
Supervalu Inc.,86,2002,Wholesalers: Food and Grocery,,MN
PG&E Corporation,87,2002,Utilities: Gas and Electric,,CA
"Alcoa, Inc.",88,2002,Metals,,PA
American Express Company,89,2002,Diversified Financials,,NY
Wachovia Corp.,90,2002,Commercial Banks,,NC
"Lehman Brothers Holdings, Inc.",91,2002,Securities,,NY
"Cisco Systems, Inc.",92,2002,Network and Other Communications Equipment,,CA
CVS Corporation,93,2002,Food & Drug Stores,,RI
BellSouth Corporation,94,2002,Specialty Retailers,,NC
Sysco Corporation,95,2002,Wholesalers: Food and Grocery,,TX
Bristol-Myers Squibb Company,96,2002,Pharmaceuticals,,NY
Electronic Data Systems Corporation,97,2002,Computer And Data Services,,TX
"Caterpillar, Inc.",98,2002,Industrial and Farm Equipment,,IL
The Coca-Cola Company,99,2002,Beverages,,GA
Archer Daniels Midland Company,100,2002,Food Production,,IL
"AutoNation, Inc.",101,2002,"Automotive Retailing, Services",,FL
Qwest Communications International Inc.,102,2002,Telecommunications,,CO
FedEx Corporation,103,2002,"Mail, Package, and Freight Delivery",,TN
Massachusetts Mutual Life Insurance Company,104,2002,"Insurance: Life, Health (Mutual)",,MA
Pharmacia Corporation,105,2002,Pharmaceuticals,,NJ
FleetBoston Financial Corporation,106,2002,Commercial Banks,,MA
CIGNA Corporation,107,2002,Health Care,,PA
AMR Corporation,108,2002,Airlines,,TX
Loews Corporation,109,2002,Insurance: Property and Casualty (Stock),,NY
Solectron Corporation,110,2002,Semiconductors and Other Electronic Components,,CA
"Johnson Controls, Inc.",111,2002,Motor Vehicles & Parts,,WI
"Sun Microsystems, Inc.",112,2002,"Computers, Office Equipment",,CA
"HCA, Inc",113,2002,Health Care,,TN
Visteon Corporation,114,2002,Motor Vehicles & Parts,,MI
Sara Lee Corporation,115,2002,Food Consumer Products,,IL
"Washington Mutual, Inc.",116,2002,Savings Institutions,,WA
Tech Data Corporation,117,2002,Wholesalers: Electronics and Office Equipment,,FL
"Federated Department Stores, Inc.",118,2002,General Merchandisers,,OH
Raytheon Company,119,2002,Aerospace & Defense,,MA
Xerox Corporation,120,2002,"Computers, Office Equipment",,CT
U.S. Bancorp,121,2002,Commercial Banks,,MN
TRW Inc.,122,2002,Motor Vehicles & Parts,,OH
Abbott Laboratories,123,2002,Pharmaceuticals,,IL
Northwestern Mutual Life Insurance Company,124,2002,"Insurance: Life, Health (Mutual)",,WI
UAL Corporation,125,2002,Airlines,,IL
Minnesota Mining and Manufacturing Company,126,2002,zMiscellaneous,,MN
AmerisourceBergen Corp.,127,2002,Wholesalers: Health Care,,PA
"Coca-Cola Enterprises, Inc.",128,2002,Beverages,,GA
"Fleming Companies, Inc.",129,2002,Wholesalers: Food and Grocery,,TX
Emerson Electric Co.,130,2002,"Electronics, Electrical Equipment",,MO
Rite Aid Corporation,132,2002,Food & Drug Stores,,PA
"Publix Super Markets, Inc.",133,2002,Food & Drug Stores,,FL
Hartford Financial Services Group Inc.,134,2002,Insurance: Property and Casualty (Stock),,CT
Exelon Corporation,135,2002,Utilities: Gas and Electric,,IL
Nationwide Mutual Insurance Co.,136,2002,Insurance: Property and Casualty (Stock),,OH
Xcel Energy Inc.,137,2002,Utilities: Gas and Electric,,MN
Valero Energy Corp,138,2002,Petroleum Refining,,TX
Best Buy Co. Inc.,139,2002,Food Services,,IL
Weyerhaeuser Company,140,2002,Forest and Paper Products,,WA
Kimberly-Clark Corporation,141,2002,Household and Personal Products,,TX
Liberty Mutual Insurance Group,142,2002,Insurance: Property and Casualty (Mutual),,MA
The May Department Stores Company,143,2002,General Merchandisers,,MO
The Goodyear Tire & Rubber Company and Subsidiaries,144,2002,Motor Vehicles & Parts,,OH
Wyeth,145,2002,Pharmaceuticals,,NJ
Occidental Petroleum Corporation,146,2002,"Mining, Crude-Oil Production",,CA
"Household International, Inc.",147,2002,Diversified Financials,,IL
"Delta Air Lines, Inc.",148,2002,Airlines,,GA
"The Gap, Inc.",149,2002,Specialty Retailers,,CA
Lear Corporation,150,2002,Motor Vehicles & Parts,,MI
Northrop Grumman Corporation,151,2002,Aerospace & Defense,,CA
Amerada Hess Corporation,152,2002,Petroleum Refining,,NY
Halliburton Company,153,2002,"Oil and Gas Equipment, Services",,TX
Deere & Company,154,2002,Industrial and Farm Equipment,,IL
Eastman Kodak Company,155,2002,"Scientific, Photographic and Control Equipment",,NY
CMS Energy Corporation,156,2002,Energy,,MI
"Circuit City Stores, Inc.",157,2002,Specialty Retailers,,VA
CInergy Corp.,158,2002,Energy,,OH
"Anheuser-Busch Companies, Inc.",159,2002,Beverages,,MO
"Winn-Dixie Stores, Inc.",160,2002,Food & Drug Stores,,FL
"Avnet, Inc.",161,2002,Wholesalers: Electronics and Office Equipment,,AZ
WellPoint Health Networks Inc.,162,2002,Health Care,,CA
"Sunoco, Inc.",163,2002,Petroleum Refining,,PA
Textron Inc.,164,2002,Aerospace & Defense,,RI
General Dynamics Corporation,166,2002,Aerospace & Defense,,VA
Tenet Healthcare Corporation,167,2002,Health Care,,CA
Union Pacific Corporation,168,2002,Railroads,,NE
PacifiCare Health Systems Inc.,169,2002,Health Care,,CA
"Farmland Industries, Inc.",170,2002,Food Production,,MO
Eli Lilly and Company,171,2002,Pharmaceuticals,,IN
"Waste Management, Inc.",172,2002,Waste Management,,TX
"Office Depot, Inc.",173,2002,Specialty Retailers,,FL
"The Williams Companies, Inc.",174,2002,Pipelines,,OK
Edison International,175,2002,Specialty Retailers,,NJ
Oracle Corporation,176,2002,Computer Software,,CA
"Tyson Foods, Inc.",177,2002,Food Production,,AR
"Staples, Inc.",178,2002,Specialty Retailers,,MA
"The TJX Companies, Inc.",179,2002,Specialty Retailers,,MA
"Dominion Resources, Inc.",180,2002,Utilities: Gas and Electric,,VA
Computer Sciences Corporation,181,2002,Computer And Data Services,,CA
Manpower Inc.,182,2002,Temporary Help,,WI
Dana Corporation,183,2002,Motor Vehicles & Parts,,OH
"Anthem,Inc.",184,2002,Health Care,,IN
Allegheny Energy Incorporated,185,2002,Energy,,MD
Whirlpool Corporation,186,2002,"Electronics, Electrical Equipment",,MI
Humana Inc.,187,2002,Health Care,,KY
Southern Company,188,2002,Utilities: Gas and Electric,,GA
"Marriott International, Inc.",189,2002,"Hotels, Casinos, Resorts",,MD
MBNA Corporation,190,2002,Commercial Banks,,DE
"Arrow Electronics, Inc",191,2002,Wholesalers: Electronics and Office Equipment,,NY
Health Net Inc.,192,2002,Health Care,,CA
"Marsh & McLennan Companies, Inc.",193,2002,Diversified Financials,,NY
Northwest Airlines Corporation,194,2002,Airlines,,MN
"Public Service Enterprise Group, Inc.",195,2002,Utilities: Gas and Electric,,NJ
Schering-Plough Corporation,196,2002,Pharmaceuticals,,NJ
"Illinois Tool Works, Inc.",197,2002,Industrial and Farm Equipment,,IL
Comcast Corporation,198,2002,Telecommunications,,PA
"Consolidated Edison, Inc.",199,2002,Utilities: Gas and Electric,,NY
Entergy Corporation,200,2002,Utilities: Gas and Electric,,LA
AES Corporation,201,2002,Utilities: Gas and Electric,,VA
"AFLAC, Inc.",202,2002,"Insurance: Life, Health (Stock)",,GA
NiSource Inc.,203,2002,Utilities: Gas and Electric,,IN
"Nike, Inc.",204,2002,Apparel,,OR
UnumProvident Corporation,205,2002,"Insurance: Life, Health (Stock)",,TN
H.J. Heinz Company,206,2002,Food Consumer Products,,PA
Colgate-Palmolive Company,207,2002,Household and Personal Products,,NY
"The Limited, Inc.",208,2002,Specialty Retailers,,OH
John Hancock Financial Services Inc.,209,2002,"Insurance: Life, Health (Stock)",,MA
"Express Scripts, Inc.",210,2002,Health Care,,MO
Burlington Northern Santa Fe Corp.,211,2002,Railroads,,TX
Agilent Technologies Inc.,212,2002,"Scientific, Photographic and Control Equipment",,CA
National City Corporation,213,2002,Commercial Banks,,OH
Fluor Corporation,214,2002,Engineering & Construction,,CA
United Services Automobile Association,215,2002,Insurance: Property and Casualty (Stock),,TX
"Continental Airlines, Inc.",216,2002,Airlines,,TX
Cendant Corporation,217,2002,zMiscellaneous,,NY
"The St. Paul Companies, Inc.",218,2002,Insurance: Property and Casualty (Stock),,MN
Guardian Life Insurance Co. of America,219,2002,"Insurance: Life, Health (Mutual)",,NY
Kellogg Company,220,2002,Food Consumer Products,,MI
"Principal Financial Group, Inc.",221,2002,"Insurance: Life, Health (Stock)",,IA
"SCI Systems, Inc.",222,2002,Semiconductors and Other Electronic Components,,AL
"The Bear Stearns Companies, Inc.",223,2002,Securities,,NY
"R. J. Reynolds Tobacco Holdings, Inc.",224,2002,Tobacco,,NC
Ashland Inc.,225,2002,Chemicals,,KY
"FPL Group, Inc.",226,2002,Utilities: Gas and Electric,,FL
"Progress Energy, Inc.",227,2002,Utilities: Gas and Electric,,NC
"The Pepsi Bottling Group, Inc.",228,2002,Beverages,,NY
"SunTrust Banks, Inc.",230,2002,General Merchandisers,,AR
Smurfit-Stone Container Corporation,231,2002,"Packaging, Containers",,IL
Anadarko Petroleum Corp.,232,2002,"Mining, Crude-Oil Production",,TX
Masco Corporation,233,2002,"Home Equipment, Furnishings",,MI
"US Airways Group, Inc.",234,2002,Airlines,,VA
Genuine Parts Company,235,2002,Wholesalers: Diversified,,GA
Texas Instruments Incorporated,236,2002,Semiconductors and Other Electronic Components,,TX
"PPG Industries, Inc.",237,2002,Chemicals,,PA
CSX,238,2002,Railroads,,VA
"Conseco, Inc.",239,2002,"Insurance: Life, Health (Stock)",,IN
Gillette Company,240,2002,Household and Personal Products,,MA
Sempra Energy,241,2002,Utilities: Gas and Electric,,CA
"Clear Channel Communications, Inc.",243,2002,Entertainment,,TX
Cenex Harvest States Cooperatives,244,2002,Wholesalers: Food and Grocery,,MN
DTE Energy Company,245,2002,Utilities: Gas and Electric,,MI
Aramark Corporation,246,2002,Diversified Outsourcing Services,,PA
Aon Corporation,247,2002,Diversified Financials,,IL
Baxter International Inc.,248,2002,Medical Products and Equipment,,IL
Chubb Corporation,249,2002,Insurance: Property and Casualty (Stock),,NJ
ALLTEL Corporation,250,2002,Telecommunications,,AR
Calpine Corporation,251,2002,Energy,,CA
"Nextel Communications, Inc.",252,2002,Telecommunications,,VA
FirstEnergy Corporation,253,2002,General Merchandisers,,WI
The Progressive Corporation,254,2002,Insurance: Property and Casualty (Stock),,OH
"American Standard Companies, Inc.",255,2002,Industrial and Farm Equipment,,NJ
Boise Cascade Corporation,256,2002,Forest and Paper Products,,ID
KeyCorp,257,2002,Commercial Banks,,OH
"Applied Materials, Inc.",258,2002,Semiconductors and Other Electronic Components,,CA
Eaton Corporation,259,2002,"Electronics, Electrical Equipment",,OH
Capital One Financial Corporation,260,2002,Diversified Financials,,VA
"The Bank of New York Company, Inc.",261,2002,Commercial Banks,,NY
"Crown Cork & Seal Company, Inc.",262,2002,"Packaging, Containers",,PA
EMC Corporation,263,2002,Computer Peripherals,,MA
"General Mills, Inc.",264,2002,Food Consumer Products,,MN
"AdvancePCS, Inc.",265,2002,Health Care,,TX
"Automatic Data Processing, Inc.",266,2002,Computer And Data Services,,NJ
Safeco Corporation,267,2002,Insurance: Property and Casualty (Stock),,WA
"Tricon Global Restaurants, Inc.",267,2002,Food Services,,KY
PNC Financial Services Group Inc.,269,2002,Commercial Banks,,PA
Newell Rubbermaid Inc.,270,2002,"Home Equipment, Furnishings",,IL
Keyspan Corporation,271,2002,Utilities: Gas and Electric,,NY
Omnicom Group Inc.,272,2002,"Advertising, Marketing",,NY
Northeast Utilities,273,2002,Utilities: Gas and Electric,,CT
"Plains All American Pipeline, L.P.",274,2002,Pipelines,,TX
"ArvinMeritor, Inc.",275,2002,Motor Vehicles & Parts,,MI
ONEOK Inc.,276,2002,Energy,,OK
Avaya Inc.,277,2002,Network and Other Communications Equipment,,NJ
Unocal Corporation,278,2002,"Mining, Crude-Oil Production",,CA
"Interpublic Group of Companies, Inc.",279,2002,"Advertising, Marketing",,NY
Navistar International Corporation,280,2002,Motor Vehicles & Parts,,IL
Centex Corporation,281,2002,Homebuilders,,TX
Campbell Soup Co.,282,2002,Food Consumer Products,,NJ
Fifth Third Bancorp,283,2002,Commercial Banks,,OH
First Data Corporation,284,2002,Computer And Data Services,,CO
Premcor Inc.,285,2002,Petroleum Refining,,MO
Lincoln National Corporation,286,2002,"Insurance: Life, Health (Stock)",,PA
"Gannett Co., Inc.",287,2002,"Publishing, Printing",,VA
"Sonic Automotive, Inc.",288,2002,"Automotive Retailing, Services",,NC
Corning Inc.,289,2002,Network and Other Communications Equipment,,NY
Dean Foods Company,290,2002,Food Production,,TX
BB&T Corp.,291,2002,Commercial Banks,,NC
"United Auto Group, Inc.",292,2002,"Automotive Retailing, Services",,MI
Norfolk Southern Corporation,293,2002,Railroads,,VA
Science Applications International Corporation,294,2002,Computer And Data Services,,CA
Paccar Inc.,295,2002,Motor Vehicles & Parts,,WA
"Gateway, Inc.",296,2002,"Computers, Office Equipment",,CA
"Saks, Incorporated",297,2002,General Merchandisers,,AL
Lennar Corp.,298,2002,Homebuilders,,FL
Avista Corp.,299,2002,Energy,,WA
Unisys Corporation,300,2002,Computer And Data Services,,PA
"Owens-Illinois, Inc.",301,2002,"Packaging, Containers",,OH
"Avon Products, Inc.",302,2002,Household and Personal Products,,NY
Parker-Hannifin Corporation,303,2002,Industrial and Farm Equipment,,OH
NCR Corporation,304,2002,"Computers, Office Equipment",,OH
Smithfield Foods,305,2002,Food Consumer Products,,VA
Rohm and Haas Company,306,2002,Chemicals,,PA
Conectiv,307,2002,Utilities: Gas and Electric,,DE
ServiceMaster,308,2002,Diversified Outsourcing Services,,IL
PPL Corporation,309,2002,Utilities: Gas and Electric,,PA
"Air Products & Chemicals, Inc",310,2002,Chemicals,,PA
Cummins,311,2002,Industrial and Farm Equipment,,IN
"Idacorp, Inc.",312,2002,Energy,,ID
State Street Corporation,313,2002,Commercial Banks,,MA
"Nortstrom, Inc.",314,2002,General Merchandisers,,WA
"Caremark Rx, Inc.",315,2002,Health Care,,AL
Allied Waste Industries,316,2002,Waste Management,,AZ
Southwest Airlines Company,317,2002,Airlines,,TX
"Medtronic, Inc.",318,2002,Medical Products and Equipment,,MN
Providian Financial Corporation,319,2002,Commercial Banks,,CA
VF Corporation,320,2002,Apparel,,NC
Federal-Mogul Corporation,321,2002,Motor Vehicles & Parts,,MI
Eastman Chemical Company,322,2002,Chemicals,,TN
Baker Hughes Incorporated,323,2002,"Oil and Gas Equipment, Services",,TX
"Pulte Homes, Inc.",324,2002,Homebuilders,,MI
"Apple Computer, Inc.",325,2002,"Computers, Office Equipment",,CA
Dollar General Corporation,326,2002,General Merchandisers,,TN
R.R. Donnelley & Sons Company,328,2002,"Publishing, Printing",,IL
"USA Networks, Inc.",329,2002,Entertainment,,NY
The Charles Schwab Corporation,330,2002,Securities,,CA
"Fortune Brands, Inc.",331,2002,Specialty Retailers,,MA
"Ikon Office Solutions, Inc.",332,2002,Wholesalers: Electronics and Office Equipment,,PA
Tribune Company,333,2002,"Publishing, Printing",,IL
TransMontaigne Inc.,334,2002,Pipelines,,CO
Tesoro Petroleum Corporation,335,2002,Petroleum Refining,,TX
"Praxair, Inc.",336,2002,Chemicals,,CT
American Family Mutual Insurance Company,337,2002,Insurance: Property and Casualty (Stock),,WI
Engelhard Corporation,338,2002,Chemicals,,NJ
The Sherwin-Williams Company,339,2002,Chemicals,,OH
Goodrich Corporation,340,2002,Aerospace & Defense,,NC
"Ryder System, Inc.",341,2002,"Trucking, Truck Leasing",,FL
CNF Inc.,342,2002,"Trucking, Truck Leasing",,CA
Barnes & Noble Inc.,343,2002,Specialty Retailers,,NY
"Graybar Electric Company, Inc.",344,2002,Wholesalers: Electronics and Office Equipment,,MO
"Countrywide Credit Industries, Inc.",345,2002,Diversified Financials,,CA
"AutoZone, Inc.",346,2002,Specialty Retailers,,TN
"Mattel, Inc.",347,2002,"Toys, Sporting Goods",,CA
RadioShack Corporation,348,2002,Specialty Retailers,,TX
Owens Corning,349,2002,"Building Materials, Glass",,OH
"W.W. Grainger, Inc.",350,2002,Wholesalers: Diversified,,IL
"Adams Resources & Energy, Inc.",351,2002,Energy,,TX
Pitney Bowes Inc.,352,2002,"Computers, Office Equipment",,CT
The LTV Corporation,352,2002,Metals,,OH
"Dole Food Company, Inc.",353,2002,Food Consumer Products,,CA
"ITT Industries, Inc.",354,2002,Industrial and Farm Equipment,,NY
KB Home,355,2002,Homebuilders,,CA
"The McGraw-Hill Companies, Inc.",356,2002,"Publishing, Printing",,NY
"OfficeMax, Inc.",357,2002,Specialty Retailers,,OH
Park Place Entertainment Corporation,358,2002,"Hotels, Casinos, Resorts",,NV
Sierra Pacific Resources,359,2002,Utilities: Gas and Electric,,NV
The Est_e Lauder Companies Inc.,360,2002,Household and Personal Products,,NY
Maytag Corporation,361,2002,"Electronics, Electrical Equipment",,IA
Hershey Foods Corporation,362,2002,Food Consumer Products,,PA
Pinnacle West Capital Corporation,363,2002,Utilities: Gas and Electric,,AZ
Dover Corporation,364,2002,Industrial and Farm Equipment,,NY
"Micron Technology, Inc.",365,2002,Semiconductors and Other Electronic Components,,ID
Ameren Corporation,366,2002,Utilities: Gas and Electric,,MO
Murphy Oil Corporation,367,2002,Petroleum Refining,,AR
"D.R. Horton, Inc.",368,2002,Homebuilders,,TX
"Willamette Industries, Inc.",369,2002,Forest and Paper Products,,OR
Quantum Corporation,370,2002,Computer Peripherals,,CA
Golden West Financial Corporation,371,2002,Savings Institutions,,CA
"Oxford Health Plans, Inc.",372,2002,Health Care,,CT
Cablevision Systems Corp.,373,2002,Telecommunications,,NY
HEALTHSOUTH Corporation,374,2002,Health Care,,AL
"Foot Locker, Inc.",375,2002,Specialty Retailers,,NY
Administaff Inc,376,2002,Diversified Outsourcing Services,,TX
The Black & Decker Corporation,377,2002,Industrial and Farm Equipment,,MD
"Jabil Circuit, Inc.",378,2002,Semiconductors and Other Electronic Components,,FL
Mutual of Omaha Insurance Companies,379,2002,"Insurance: Life, Health (Mutual)",,NE
Rockwell Automation Inc.,380,2002,"Electronics, Electrical Equipment",,WI
Brunswick Corporation,380,2002,Transportation Equipment,,IL
Golden State Bancorp,381,2002,Savings Institutions,,CA
Longs Drug Stores Corporation,382,2002,Food & Drug Stores,,CA
Levi Strauss & Company,383,2002,Apparel,,CA
"Kelly Services, Inc.",384,2002,Temporary Help,,MI
NorthWestern Corporation,385,2002,Energy,,SD
"Cooper Industries, Incorporated",386,2002,"Electronics, Electrical Equipment",,TX
"Computer Associates International, Inc.",387,2002,Computer Software,,NY
Comerica Incorporated,388,2002,Commercial Banks,,MI
Temple-Inland Inc.,389,2002,"Packaging, Containers",,TX
"Lexmark International, Inc.",390,2002,Computer Peripherals,,KY
Nucor Corporation,391,2002,Metals,,NC
Hormel Foods Corporation,392,2002,Food Consumer Products,,MN
SPX Corporation,393,2002,"Electronics, Electrical Equipment",,NC
"Leggett & Platt, Incorporated",394,2002,Furniture,,MO
Nash Finch Company,395,2002,Wholesalers: Food and Grocery,,MN
"Jones Apparel Group, Inc.",396,2002,Apparel,,PA
"Cox Communications, Inc.",397,2002,Telecommunications,,GA
Mellon Financial Corp.,398,2002,Commercial Banks,,PA
co,399,2002,Semiconductors and Other Electronic Components,,CA
Bethlehem Steel Corporation,399,2002,Metals,,PA
Regions Financial Corporation,400,2002,Commercial Banks,,AL
"Darden Restaurants, Inc.",401,2002,Food Services,,FL
"Pathmark Stores, Inc.",402,2002,Food & Drug Stores,,NJ
Amgen,403,2002,Pharmaceuticals,,CA
MGM Mirage,404,2002,"Hotels, Casinos, Resorts",,NV
The Pittston Company,405,2002,"Mail, Package, and Freight Delivery",,VA
Phelps Dodge Corporation,406,2002,Metals,,AZ
Echostar Communications Corporation,407,2002,Telecommunications,,CO
Group 1 Automotive Inc.,408,2002,"Automotive Retailing, Services",,TX
AK Steel Holding Corporation,409,2002,Metals,,OH
"Autoliv, Inc.",410,2002,Motor Vehicles & Parts,,UT
MeadWestvaco Corporation,411,2002,Forest and Paper Products,,CT
Encompass Services Corporation,412,2002,Diversified Outsourcing Services,,TX
"Starwood Hotels & Resorts Worldwide, Inc.",413,2002,"Hotels, Casinos, Resorts",,NY
"CDW Computer Centers, Inc.",414,2002,Wholesalers: Electronics and Office Equipment,,IL
Jacobs Engineering Group Inc.,415,2002,Engineering & Construction,,CA
"Charter Communications, Inc.",417,2002,Telecommunications,,MO
"American Financial Group, Inc.",418,2002,Insurance: Property and Casualty (Stock),,OH
York International Corporation,419,2002,Industrial and Farm Equipment,,PA
Wisconsin Energy Corporation,420,2002,Utilities: Gas and Electric,,WI
"Constellation Energy Group, Inc.",421,2002,Utilities: Gas and Electric,,MD
United Stationers Inc.,422,2002,Wholesalers: Electronics and Office Equipment,,IL
The Clorox Company,423,2002,Household and Personal Products,,CA
"Advanced Micro Devices, Inc.",424,2002,Semiconductors and Other Electronic Components,,CA
Steelcase Inc.,425,2002,Furniture,,MI
"Fidelity National Financial, Inc.",426,2002,Insurance: Property and Casualty (Stock),,CA
"ITT Industries, Inc.",427,2002,Engineering & Construction,,NE
FMC Corporation,428,2002,Chemicals,,PA
"Owens & Minor, Inc.",429,2002,Wholesalers: Health Care,,VA
Maxtor Corporation,431,2002,Computer Peripherals,,CA
Danaher Corporation,432,2002,"Scientific, Photographic and Control Equipment",,DC
Energy East Corporation,433,2002,Utilities: Gas and Electric,,NY
NTL Incorporated,434,2002,Telecommunications,,NY
"Becton, Dickinson and Company",435,2002,Medical Products and Equipment,,NJ
Host Marriott Corporation,436,2002,Real Estate,,MD
The First American Corporation,437,2002,Insurance: Property and Casualty (Stock),,CA
SouthTrust Corporation,438,2002,Commercial Banks,,AL
Pacific LifeCorp,439,2002,"Insurance: Life, Health (Stock)",,CA
Avery Dennison Corporation,440,2002,"Hotels, Casinos, Resorts",,NV
Ball Corporation,441,2002,"Packaging, Containers",,CO
